[0] 0.046754     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e9c 0xe1f20004 0x4
[0] 0.046893     RomRead:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x2000000)
[0] 0.046927     RomRead:e0049231:00:03: [SEQ] NotifyComplete (Cur = 0, 0x2000000, Flag = 0x2000000)
[0] 0.046985     Startup:e00490cd:00:05: [SEQ] seqEventDispatch (Startup, 0)
[0] 0.047014     Startup:e0041503:89:05: startupEntry
[0] 0.052259  **INT-A8h*:e02e2ed9:03:03: NotifyIntRelaxToR4CBR IN
[0] 0.052764     Startup:e0046dc1:b4:03: [PWM] PWM_Initialize
[0] 0.052893     Startup:e00dd163:b4:03: [ADC] InitializePollingADC
[1] 0.054094       init1:e028fd0f:d2:03: [FMID]FMID_SYS_Initialize(0x7eee9600, 0x500000)
[1] 0.054154       init1:e0227b31:d2:01: FMID_COM_SendMsgToOmar(0x30000, 0x0, 0x40479820)
[1] 0.054219       init1:e0285625:d2:01: FMID_GetDefaultMiddleParam(0x40a49d20)
[1] 0.054260       init1:e0227b5d:d2:01: FMID_COM_SendMsgToOmarSync(0x30001, 0xb, 0x40479844)
[1] 0.054337    FmidCtrl:e0061095:d2:01: FmidCtrl_EventDispath(0x30000, 0x0, 0x40479820)
[1] 0.055414    FmidCtrl:e0061095:d2:01: FmidCtrl_EventDispath(0x30001, 0xb, 0x40479844)
[1] 0.055591  GlobalVect:e07ecd61:e0:03: GlobalVectorInit
[0] 0.062984     Startup:e00dd06d:b4:03: [ ADC ] Calibration Completed, 0x00000000
[0] 0.067795     PropMgr:e00ae365:81:03: PROP_RegisterMultiConvert : 3, 6
[0] 0.067834     PropMgr:e00ae365:81:03: PROP_RegisterMultiConvert : 1, 1
[0] 0.068367     PropMgr:e00643a1:81:03: @@@JudgeRestoreFlavorPC 1055
[0] 0.069199  **INT-2Ah*:00103b4b:00:0f: [0] *** mpu_send(06 04 02 00 00 00)
[0] 0.069248  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.069338  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.069657     PropMgr:e054d7f3:37:03: emSlaveChangeCBR : AUTO_POWEROFF (1)
[0] 0.069709     PropMgr:e054d811:37:03: emSlaveChangeCBR : UILOCK (0x0)
